kernel,accuracy,confusion_matrix,classification_report
linear,1.0,"[[39, 0], [0, 1]]","{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 39.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 40.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 40.0}}"
rbf,1.0,"[[39, 0], [0, 1]]","{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 39.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 40.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 40.0}}"
poly,0.975,"[[38, 1], [0, 1]]","{'0': {'precision': 1.0, 'recall': 0.9743589743589743, 'f1-score': 0.9870129870129869, 'support': 39.0}, '1': {'precision': 0.5, 'recall': 1.0, 'f1-score': 0.6666666666666666, 'support': 1.0}, 'accuracy': 0.975, 'macro avg': {'precision': 0.75, 'recall': 0.9871794871794872, 'f1-score': 0.8268398268398267, 'support': 40.0}, 'weighted avg': {'precision': 0.9875, 'recall': 0.975, 'f1-score': 0.9790043290043288, 'support': 40.0}}"
sigmoid,0.975,"[[39, 0], [1, 0]]","{'0': {'precision': 0.975, 'recall': 1.0, 'f1-score': 0.9873417721518987, 'support': 39.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1.0}, 'accuracy': 0.975, 'macro avg': {'precision': 0.4875, 'recall': 0.5, 'f1-score': 0.49367088607594933, 'support': 40.0}, 'weighted avg': {'precision': 0.9506249999999999, 'recall': 0.975, 'f1-score': 0.9626582278481012, 'support': 40.0}}"
